case_id,jurisdiction,booking_location,sg_touchpoint,us_touchpoint,customer_type,ai_system_type,evidence_coverage_ratio,unsupported_claim_rate,contradiction_count,human_challenge_rate,model_drift_flag,jurisdiction_conflict_flag,privacy_exception_flag,rule_set_triggered,final_tool_output,human_owner,explanation
SOW-011,Singapore,Singapore,True,False,corporate_client,agentic_ai,0.92,0.03,0,0.23,False,False,True,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,privacy exception requires data-risk review
SOW-012,United States,Los Angeles Agency,False,True,high_net_worth_individual,generative_ai,0.84,0.17,0,0.57,False,False,False,US-CDD-FINCEN;US-AI-GAP,Amber + governance gap,Financial Crime Compliance Officer,US AI governance gap warning triggered; evidence coverage requires review; unsupported claim rate requires review
SOW-013,Singapore,Singapore,True,False,high_net_worth_individual,agentic_ai,0.88,0.02,0,0.35,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,evidence metrics within Green thresholds
SOW-014,Singapore,Singapore,True,False,high_net_worth_individual,agentic_ai,0.88,0.1,0,0.26,True,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Red friction,Senior Compliance Officer,model drift warning active
SOW-015,Cross-border,Singapore with US relationship request,True,True,corporate_client,traditional_statistical_model,0.61,0.27,3,0.28,False,True,False,SG-AML-626;SG-AI-MRM;SG-FEAT;US-CDD-FINCEN;US-MRM-SR26-2;DUAL-RULE-REVIEW,Red friction,Senior Compliance Officer,dual Singapore/US rule review required; evidence coverage below threshold; unsupported claim rate above threshold; material contradictions require senior review
SOW-016,Singapore,Singapore,True,False,trade_finance_customer,agentic_ai,0.94,0.06,0,0.36,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,evidence metrics within Green thresholds
SOW-017,Singapore,Singapore,True,False,corporate_client,traditional_statistical_model,0.89,0.1,0,0.4,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,evidence metrics within Green thresholds
SOW-018,United States,New York Agency,False,True,corporate_client,agentic_ai,0.95,0.03,0,0.55,False,False,False,US-CDD-FINCEN;US-AI-GAP,Amber + governance gap,Financial Crime Compliance Officer,US AI governance gap warning triggered
SOW-019,Singapore,Singapore,True,False,trade_finance_customer,traditional_statistical_model,0.92,0.05,0,0.65,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,evidence metrics within Green thresholds
SOW-020,Cross-border,Singapore with US relationship request,True,True,private_banking_client,generative_ai,0.84,0.19,0,0.49,False,True,False,SG-AML-626;SG-AI-MRM;SG-FEAT;US-CDD-FINCEN;US-AI-GAP;DUAL-RULE-REVIEW,Amber + governance gap,Financial Crime Compliance Officer,dual Singapore/US rule review required; US AI governance gap warning triggered; evidence coverage requires review; unsupported claim rate requires review
SOW-021,United States,Los Angeles Agency,False,True,private_banking_client,non_generative_ai,0.57,0.22,3,0.63,False,False,False,US-CDD-FINCEN;US-MRM-SR26-2,Red friction,Senior Compliance Officer,evidence coverage below threshold; unsupported claim rate above threshold; material contradictions require senior review
SOW-022,Singapore,Singapore,True,False,trade_finance_customer,non_generative_ai,0.97,0.08,0,0.61,False,False,True,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,privacy exception requires data-risk review
SOW-023,Singapore,Singapore,True,False,corporate_client,non_generative_ai,0.95,0.06,0,0.23,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,evidence metrics within Green thresholds
SOW-024,United States,New York Agency,False,True,private_banking_client,agentic_ai,0.92,0.06,0,0.61,True,False,False,US-CDD-FINCEN;US-AI-GAP,Red friction + governance gap,Senior Compliance Officer,US AI governance gap warning triggered; model drift warning active
SOW-025,Cross-border,Singapore with US relationship request,True,True,private_banking_client,non_generative_ai,0.73,0.13,0,0.52,False,True,False,SG-AML-626;SG-AI-MRM;SG-FEAT;US-CDD-FINCEN;US-MRM-SR26-2;DUAL-RULE-REVIEW,Amber,Financial Crime Compliance Officer,dual Singapore/US rule review required; evidence coverage requires review; unsupported claim rate requires review
SOW-026,Singapore,Singapore,True,False,corporate_client,agentic_ai,0.69,0.23,2,0.48,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Red friction,Senior Compliance Officer,evidence coverage below threshold; unsupported claim rate above threshold; material contradictions require senior review
SOW-027,United States,New York Agency,False,True,corporate_client,non_generative_ai,0.91,0.07,0,0.61,False,False,False,US-CDD-FINCEN;US-MRM-SR26-2,Green,Relationship Manager + Standard Compliance Review,evidence metrics within Green thresholds
SOW-028,Singapore,Singapore,True,False,high_net_worth_individual,agentic_ai,0.94,0.05,0,0.37,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Green,Relationship Manager + Standard Compliance Review,evidence metrics within Green thresholds
SOW-029,Singapore,Singapore,True,False,private_banking_client,traditional_statistical_model,0.72,0.13,1,0.44,False,False,False,SG-AML-626;SG-AI-MRM;SG-FEAT,Amber,Financial Crime Compliance Officer,evidence coverage requires review; unsupported claim rate requires review; one contradiction requires clarification
SOW-030,Cross-border,Singapore with US relationship request,True,True,private_banking_client,generative_ai,0.92,0.02,0,0.26,False,True,False,SG-AML-626;SG-AI-MRM;SG-FEAT;US-CDD-FINCEN;US-AI-GAP;DUAL-RULE-REVIEW,Amber + governance gap,Financial Crime Compliance Officer,dual Singapore/US rule review required; US AI governance gap warning triggered
